Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-07-31,2190.28,2202.3,2186.26,2193.56,17447189
2023-08-01,2193.35,2193.77,2174.65,2188.77,13747540
2023-08-02,2177.36,2177.36,2142.82,2142.82,14883443
2023-08-03,2139.83,2145.01,2120.93,2141.81,13001280
2023-08-04,2152.32,2173.4,2152.32,2169.73,10052286
2023-08-07,2167.78,2168.37,2145.93,2152.17,9919087
2023-08-08,2148.86,2148.86,2106.44,2113.37,15746204
2023-08-09,2099.14,2118.52,2089.72,2096.43,17771305
2023-08-10,2097.72,2143.51,2097.72,2130.58,16696381
2023-08-11,2124.08,2124.08,2098.84,2105.31,13284271
2023-08-14,2098.01,2104.81,2082.18,2087.01,9377568
2023-08-16,2075.72,2075.87,2039.46,2044.35,18511683
2023-08-17,2043.1,2053.25,2009.19,2021.15,13024982
2023-08-18,2014.48,2017.46,1997.11,2014.55,13127530
2023-08-21,2011.29,2024.31,2002.05,2015.21,10659612
2023-08-22,2020.25,2031.1,2005.48,2009.59,11819458
2023-08-23,2011.24,2018.61,1989,2012.34,13162916
2023-08-24,2015.7,2036.45,2007.3,2009.58,10166723
2023-08-25,1997.35,2015.39,1986.05,2000.42,10620373
2023-08-28,2010.6,2041.73,2001.87,2039.32,11516362
2023-08-29,2041.9,2050.43,2029.79,2042.08,12644490
2023-08-30,2043.03,2055.06,2035.91,2049.96,8289758
2023-08-31,2049.89,2054.96,2026.67,2027.38,27831620
2023-09-01,2024.89,2055.37,2022.35,2050.94,14560369
2023-09-04,2050.13,2062.39,2023.74,2025.59,14490208
2023-09-05,2022.55,2044.26,2004.34,2006.27,13740483
2023-09-06,1993.44,2000.36,1942.27,1958.07,25918192
2023-09-07,1954.96,1963.05,1909.86,1927.39,20120851
2023-09-08,1934.89,1946.46,1924.02,1943.99,13364405
2023-09-11,1951.85,1965.45,1935.43,1941.79,13451525
2023-09-12,1944.98,1953.48,1934.03,1949.57,19746973
2023-09-13,1948.28,1956.91,1937.35,1949.65,20185326
2023-09-14,1954.66,1967.77,1948.35,1967.77,18693837
2023-09-15,1973.88,1989.19,1971.31,1975.05,42830658
2023-09-18,1974.14,1981.45,1941.76,1943.94,13778179
2023-09-19,1951.24,1954.49,1924.07,1930.86,16080549
2023-09-20,1932.86,1979.22,1932.86,1975.57,18236625
2023-09-21,1962.98,1962.98,1935.97,1949.56,12918665
2023-09-22,1948.17,1959.09,1936.82,1949.25,15562790
2023-09-25,1947.24,1957.09,1918.15,1925.22,15655182
2023-09-26,1921.59,1936.37,1900.4,1928.42,15370542
2023-09-27,1928.01,1932.96,1898.92,1898.92,13082707
2023-09-28,1896.64,1903.33,1873.38,1884.74,30618353
2023-09-29,1890.79,1926.94,1890.79,1915.6,22627015
2023-10-02,1917.3,1917.3,1873.32,1873.32,16635343
2023-10-03,1871.15,1881.62,1854.48,1864.31,20451084
2023-10-04,1857.91,1901.68,1843.38,1879.35,22577547
2023-10-05,1884.53,1893.3,1864.65,1864.65,19196269
2023-10-06,1865.28,1889.89,1852.68,1870.43,34993155
2023-10-09,1869.05,1919.4,1854.01,1909.41,23136281
2023-10-10,1919.84,1965.66,1919.84,1960.21,25818178
2023-10-11,1962.86,1988.44,1956.18,1976.83,31757020
2023-10-12,1980.07,1985.3,1956.34,1960.94,31389565
2023-10-13,1958.96,1986.47,1951.77,1974.56,21731800
2023-10-16,2009.97,2099.3,2009.97,2079.49,56000435
2023-10-17,2077.32,2150.76,2076.66,2118.37,38033945
